episode,return,rolling_mean_reward
967,0.0,7.9896
968,4.0,8.03
969,10.0,8.131
970,-0.09999999999999999,7.9201999999999995
971,8.0,8.001
972,13.0,8.1318
973,-0.09999999999999999,7.9110000000000005
974,4.99,7.8509
975,14.0,7.9913
976,15.0,8.0513
977,-0.09999999999999999,7.970600000000001
978,-0.09999999999999999,7.9702
979,-0.08,7.869400000000001
980,11.95,7.9897
981,-0.060000000000000005,7.8591
982,15.0,7.8191
983,9.0,7.7595
984,8.0,7.69
985,12.0,7.8108
986,12.0,7.9312000000000005
987,-0.09999999999999999,7.931
988,11.0,7.981
989,-0.08,7.8602
990,10.97,7.8299
991,16.0,7.9907
992,-0.04,7.8504
993,6.0,7.8104
994,-0.08,7.7296000000000005
995,-0.04,7.659199999999999
996,9.93,7.6488
997,10.0,7.7498000000000005
998,8.0,7.8306000000000004
999,-0.05,7.8306000000000004
1000,-0.07,7.7802
1001,17.0,7.9502999999999995
1002,22.0,8.020299999999999
1003,7.0,7.8603
1004,13.0,7.830299999999999
1005,22.94,8.0601
1006,11.0,8.0702
1007,-0.08,8.07
1008,-0.09999999999999999,8.068999999999999
1009,4.0,8.1091
1010,17.0,8.1391
1011,15.0,8.2191
1012,13.0,8.2293
1013,-0.08,8.1785
1014,-0.09999999999999999,8.0779
1015,-0.07,8.078
1016,11.0,8.097999999999999
1017,-0.08,7.8279
1018,14.0,7.9689
1019,-0.060000000000000005,7.738300000000001
1020,8.98,7.798100000000001
1021,-0.09999999999999999,7.527100000000001
1022,-0.09999999999999999,7.527100000000001
1023,14.0,7.5971
1024,7.93,7.556699999999999
1025,-0.09999999999999999,7.305700000000001
1026,5.93,7.155
1027,-0.09999999999999999,7.1548
1028,-0.060000000000000005,7.0542
1029,12.0,7.1742
1030,17.0,7.204199999999999
1031,10.0,7.1742
1032,9.0,7.1541999999999994
1033,-0.08,7.1541999999999994
1034,15.0,7.1742
1035,22.0,7.3949
1036,1.99,7.4154
1037,10.0,7.4056
1038,-0.08,7.4058
1039,15.96,7.4554
1040,-0.060000000000000005,7.4556000000000004
1041,11.0,7.4156
1042,10.0,7.4256
1043,13.0,7.5565999999999995
1044,10.0,7.5966
1045,7.0,7.5366
1046,1.0,7.4266
1047,-0.08,7.3861
1048,6.97,7.4566
1049,6.0,7.4466
1050,-0.09999999999999999,7.3458000000000006
1051,-0.09999999999999999,7.255
1052,13.0,7.3859
1053,11.0,7.2959000000000005
1054,-0.05,7.1655
1055,-0.060000000000000005,7.0949
1056,-0.08,7.054600000000001
1057,23.0,6.9849
1058,-0.09999999999999999,6.9848
1059,-0.08,6.874
1060,19.0,6.994199999999999
1061,14.0,7.1352
1062,16.0,7.1752
1063,15.0,7.1852
1064,10.0,7.2358
1065,15.0,7.2358
1066,16.0,7.3964
1067,13.0,7.5264
1068,21.0,7.6964
1069,15.0,7.7463999999999995
1070,15.0,7.8974
1071,-0.08,7.816599999999999
1072,12.98,7.8164
1073,8.95,7.9069
1074,16.0,8.017000000000001
1075,-0.09999999999999999,7.876
1076,16.95,7.895499999999999
1077,24.0,8.1365
1078,-0.09999999999999999,8.1365
1079,23.0,8.3673
1080,9.0,8.3378
